condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,45,0.5595703125,,1247,2228224,1247,2228224,19.354996629400798,19.354996629400798
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,46,0.56005859375,10.984375,1274,2277376,1274,2277376,20.60814279690385,20.60814279690385
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,47,0.56005859375,,1301,2326528,1301,2326528,20.81630807140221,20.81630807140221
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,48,0.56005859375,,1328,2375680,1328,2375680,21.025290646776558,21.025290646776558
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,49,0.5595703125,,1355,2424832,1355,2424832,21.234933065312603,21.234933065312603
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,50,0.55908203125,10.921875,1382,2473984,1382,2473984,21.45165399207423,21.45165399207423
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,1,1.396484375,27.03125,59,65536,59,65536,1.9344434204511345,1.9344434204511345
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,2,1.458984375,,86,114688,86,114688,2.144984742999077,2.144984742999077
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,3,1.236328125,,113,163840,113,163840,2.344639679292838,2.344639679292838
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,4,1.201171875,,140,212992,140,212992,2.5421336396597325,2.5421336396597325
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,5,0.9306640625,,167,262144,167,262144,2.7551079004071655,2.7551079004071655
